Time,Odom_X,Odom_Y,Odom_Yaw(deg),Cam_X,Cam_Y,Cam_Yaw(deg),Diff_X,Diff_Y,Diff_Yaw
14.55,-0.126,-0.691,-111.8,-0.001,1.139,-1.3,0.126,1.830,110.5
14.60,-0.127,-0.692,-111.7,0.011,1.141,0.1,0.138,1.833,111.7
14.65,-0.127,-0.693,-111.6,0.005,1.140,-0.7,0.132,1.833,110.9
14.70,-0.127,-0.693,-111.4,0.021,1.143,1.2,0.149,1.837,112.6
14.78,-0.128,-0.694,-111.2,0.031,1.143,1.6,0.159,1.837,112.9
14.81,-0.128,-0.694,-111.2,0.035,1.144,1.3,0.163,1.838,112.5
14.85,-0.128,-0.694,-111.2,0.016,1.142,0.7,0.144,1.836,111.8
14.90,-0.128,-0.694,-111.1,0.044,1.144,0.9,0.171,1.838,112.0
14.97,-0.128,-0.694,-111.1,0.046,1.144,0.7,0.173,1.838,111.9
15.00,-0.128,-0.694,-111.1,0.039,1.144,1.1,0.167,1.838,112.2
15.05,-0.128,-0.694,-111.1,0.046,1.143,0.8,0.173,1.837,111.8
15.10,-0.128,-0.694,-111.1,0.047,1.143,0.2,0.175,1.837,111.3
15.15,-0.128,-0.694,-111.0,0.048,1.143,-0.4,0.175,1.837,110.6
15.20,-0.128,-0.694,-111.0,0.048,1.143,-1.0,0.176,1.837,110.0
15.27,-0.128,-0.694,-111.0,0.048,1.143,-1.5,0.176,1.837,109.5
15.30,-0.128,-0.694,-111.0,0.049,1.143,-1.9,0.176,1.837,109.1
15.36,-0.128,-0.694,-111.0,0.050,1.144,-4.1,0.177,1.838,106.9
15.40,-0.128,-0.694,-110.9,0.051,1.144,-5.2,0.178,1.838,105.8
15.45,-0.127,-0.693,-110.6,0.051,1.144,-6.8,0.179,1.838,103.9
15.50,-0.127,-0.692,-109.7,0.054,1.143,-10.1,0.181,1.835,99.6
15.55,-0.126,-0.690,-108.0,0.056,1.142,-12.2,0.182,1.832,95.9
15.60,-0.125,-0.687,-106.0,0.058,1.140,-14.6,0.183,1.827,91.4
15.66,-0.124,-0.683,-103.6,0.059,1.138,-17.0,0.183,1.821,86.5
15.70,-0.124,-0.680,-101.5,0.061,1.135,-19.4,0.185,1.815,82.0
